,index,Year,TmCode,Role,Tms,Overall_WL%_Rank,Overall_T/G_Rank,Overall_PtsDiff_Rank,Overall_YdsDiff_Rank,Offense_Yds_Rank,Offense_Pts_Rank,Offense_GvA_Rank,Rushing Off_Att_Rank,Rushing Off_Yds_Rank,Rushing Off_TD_Rank,Rushing Off_Y/A_Rank,Rushing Off_FL_Rank,Passing Off_Att_Rank,Passing Off_Yds_Rank,Passing Off_TD_Rank,Passing Off_Int_Rank,Passing Off_NY/A_Rank,Defense_Yds_Rank,Defense_Pts_Rank,Defense_TkA_Rank,Rushing Def_Att_Rank,Rushing Def_Yds_Rank,Rushing Def_TD_Rank,Rushing Def_Y/A_Rank,Rushing Def_FR_Rank,Passing Def_Att_Rank,Passing Def_Yds_Rank,Passing Def_TD_Rank,Passing Def_Int_Rank,Passing Def_netY/A_Rank,Name,Age,Tm,Lg,G,W,L,T,W-L%_1,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L%_2,Num,Won,Rank,Notes
69,36,1964,CHI,HC,14,11,7,13,13,8,10,5,14,14,14,13,3,1,1,2,8,10,13,13,9,7,11,13,11,4,3,10,12,14,13,George Halas+,69,Chicago Bears,NFL,14,5,9,0,.357,-4.6,-0.8,-3.8,,,,,,,6,
70,37,1965,CHI,HC,14,4,2,1,2,3,2,3,2,3,1,4,7,10,5,6,1,2,8,2,3,1,5,3,8,1,13,9,4,7,3,George Halas+,70,Chicago Bears,NFL,14,9,5,0,.643,14.6,8.6,5.9,,,,,,,3,
71,38,1966,CHI,HC,15,10,6,12,9,12,13,5,5,4,8,4,3,14,15,14,10,12,6,7,7,11,4,8,4,1,7,5,2,14,7,George Halas+,71,Chicago Bears,NFL,14,5,7,2,.417,-0.3,-2.6,2.3,,,,,,,5,
72,39,1967,CHI,HC,16,6,3,6,10,15,13,5,2,7,12,12,8,16,16,16,4,13,2,4,3,8,6,4,5,3,5,4,4,4,2,George Halas+,72,Chicago Bears,NFL,14,7,6,1,.538,3.0,-3.6,6.6,,,,,,,2,
73,0,1991,CLE,HC,28,20,3,16,19,19,16,1,22,24,15,23,1,12,9,10,2,13,18,14,11,15,21,15,22,7,19,15,19,18,10,Bill Belichick,39,Cleveland Browns,NFL,16,6,10,0,.375,-0.4,-0.7,0.4,,,,,3,,,
74,1,1992,CLE,HC,28,16,10,13,15,18,20,7,12,19,23,26,8,28,17,12,10,5,14,10,12,11,7,2,5,2,17,19,24,26,16,Bill Belichick,40,Cleveland Browns,NFL,16,7,9,0,.438,-1.0,-2.0,1.0,,,,,3,,,
75,2,1993,CLE,HC,28,18,25,16,17,20,15,25,20,17,21,12,21,23,19,5,18,12,12,17,24,14,12,10,8,25,20,13,16,19,6,Bill Belichick,41,Cleveland Browns,NFL,16,7,9,0,.438,-1.2,-0.6,-0.6,,,,,3,,,
76,3,1994,CLE,HC,28,4,20,3,13,16,11,23,13,14,11,16,19,19,19,13,24,12,7,1,13,21,13,5,11,11,25,7,2,10,3,Bill Belichick,42,Cleveland Browns,NFL,16,11,5,0,.688,7.3,1.2,6.1,2,1,1,.500,2,,,
77,4,1995,CLE,HC,30,26,25,24,24,21,25,17,22,22,27,20,5,15,14,15,20,15,24,20,26,23,20,20,9,28,20,24,15,12,23,Bill Belichick,43,Cleveland Browns,NFL,16,5,11,0,.313,-3.8,-3.2,-0.6,,,,,4,,,
78,5,2000,NWE,HC,31,24,18,23,24,22,25,7,18,26,24,28,6,11,19,19,9,23,20,17,24,26,21,12,6,13,19,21,17,28,21,Bill Belichick,48,New England Patriots,NFL,16,5,11,0,.313,-2.5,-2.7,0.2,,,,,5,4,0,
79,6,2001,NWE,HC,31,6,9,7,25,19,6,13,8,13,7,24,16,24,22,11,11,15,24,6,8,13,19,4,21,9,23,24,6,6,19,Bill Belichick,49,New England Patriots,NFL,16,11,5,0,.688,4.3,1.2,3.1,3,3,0,1.000,1,6,3,Super Bowl Champions 
80,7,2002,NWE,HC,32,11,10,14,20,21,10,7,28,28,26,27,10,4,12,2,9,22,23,17,14,21,31,23,29,17,12,11,18,12,10,Bill Belichick,50,New England Patriots,NFL,16,9,7,0,.563,4.0,2.1,1.9,,,,,2,9,5,
81,8,2003,NWE,HC,32,1,2,6,14,17,12,7,12,27,24,30,13,6,9,11,6,13,7,1,2,4,4,6,6,13,32,15,1,1,2,Bill Belichick,51,New England Patriots,NFL,16,14,2,0,.875,6.9,2.1,4.9,3,3,0,1.000,1,8,1,Super Bowl Champions 
82,9,2004,NWE,HC,32,2,8,1,4,7,4,14,5,7,8,18,23,22,11,5,11,7,9,2,3,5,6,8,11,3,26,17,7,7,10,Bill Belichick,52,New England Patriots,NFL,16,14,2,0,.875,12.8,6.4,6.5,3,3,0,1.000,1,8,5,Super Bowl Champions 
83,10,2005,NWE,HC,32,11,20,13,14,7,10,10,18,24,11,30,5,7,2,3,14,4,26,17,31,15,8,11,6,30,20,31,28,26,30,Bill Belichick,53,New England Patriots,NFL,16,10,6,0,.625,3.1,3.7,-0.5,2,1,1,.500,1,8,3,
84,11,2006,NWE,HC,32,4,4,4,8,11,7,16,6,12,4,18,25,12,12,7,6,12,6,2,4,4,5,9,10,10,19,12,1,4,12,Bill Belichick,54,New England Patriots,NFL,16,12,4,0,.750,10.2,4.3,5.9,3,2,1,.667,1,5,1,
85,12,2007,NWE,HC,32,1,3,1,1,1,1,1,9,13,5,14,3,5,1,1,3,1,4,4,9,1,10,3,26,13,12,6,18,6,5,Bill Belichick,55,New England Patriots,NFL,16,16,0,0,1.000,20.1,15.9,4.2,3,2,1,.667,1,8,4,AFC Champions 
86,13,2008,NWE,HC,32,6,15,6,6,5,8,8,4,6,4,7,13,12,12,13,5,13,10,8,20,11,15,4,15,20,7,11,31,15,21,Bill Belichick,56,New England Patriots,NFL,16,11,5,0,.688,3.9,2.3,1.6,,,,,2,6,2,
87,14,2009,NWE,HC,32,8,8,4,3,3,6,5,10,12,6,21,7,5,3,7,7,6,11,5,12,6,13,3,23,17,12,12,20,11,19,Bill Belichick,57,New England Patriots,NFL,16,10,6,0,.625,11.2,6.7,4.5,1,0,1,.000,1,7,1,
88,15,2010,NWE,HC,32,1,1,1,19,8,1,1,10,9,2,10,1,20,11,1,1,2,25,8,2,12,11,10,16,7,31,30,21,1,23,Bill Belichick,58,New England Patriots,NFL,16,14,2,0,.875,15.4,12.6,2.8,1,0,1,.000,1,9,4,
